Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
2024,Tropical Cyclone in GA,GA,Tropical Cyclone,0,33040800000.000004,0,NOAA,Yes,0
2024,Wildfire in GA,GA,Wildfire,0,294800000.0,0,NOAA,No,0
2024,Winter Storm in GA,GA,Winter Storm,0,2916100000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in GU,GU,Tropical Cyclone,0,4420000000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in HI,HI,Tropical Cyclone,0,6913000000.0,0,NOAA,Yes,0
2024,Wildfire in HI,HI,Wildfire,0,5665000000.0,0,NOAA,Yes,0
2024,Drought in IA,IA,Drought,0,16507200000.0,0,NOAA,Yes,0
2024,Flood in IA,IA,Flood,0,24791500000.0,0,NOAA,Yes,0
2024,Freeze in IA,IA,Freeze,0,77600000.0,0,NOAA,No,0
2024,Severe Storm in IA,IA,Severe Storm,0,23085200000.0,0,NOAA,Yes,0
2024,Winter Storm in IA,IA,Winter Storm,0,236100000.0,0,NOAA,No,0
2024,Drought in ID,ID,Drought,0,3592600000.0,0,NOAA,Yes,0
2024,Flood in ID,ID,Flood,0,586300000.0,0,NOAA,No,0
2024,Freeze in ID,ID,Freeze,0,12600000.0,0,NOAA,No,0
2024,Wildfire in ID,ID,Wildfire,0,3557000000.0,0,NOAA,Yes,0
2024,Drought in IL,IL,Drought,0,17502300000.0,0,NOAA,Yes,0
2024,Flood in IL,IL,Flood,0,10169400000.0,0,NOAA,Yes,0
2024,Freeze in IL,IL,Freeze,0,431900000.0,0,NOAA,No,0
2024,Severe Storm in IL,IL,Severe Storm,0,28793700000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in IL,IL,Tropical Cyclone,0,1082400000.0,0,NOAA,Yes,0
2024,Winter Storm in IL,IL,Winter Storm,0,2580400000.0,0,NOAA,Yes,0
2024,Drought in IN,IN,Drought,0,8794500000.0,0,NOAA,Yes,0
2024,Flood in IN,IN,Flood,0,5541300000.0,0,NOAA,Yes,0
2024,Freeze in IN,IN,Freeze,0,234500000.0,0,NOAA,No,0
2024,Severe Storm in IN,IN,Severe Storm,0,15746500000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in IN,IN,Tropical Cyclone,0,1266500000.0,0,NOAA,Yes,0
2024,Winter Storm in IN,IN,Winter Storm,0,799000000.0,0,NOAA,No,0
2024,Drought in KS,KS,Drought,0,27046800000.0,0,NOAA,Yes,0
2024,Flood in KS,KS,Flood,0,3659500000.0,0,NOAA,Yes,0
2024,Freeze in KS,KS,Freeze,0,175900000.0,0,NOAA,No,0
2024,Severe Storm in KS,KS,Severe Storm,0,13993200000.0,0,NOAA,Yes,0
2024,Winter Storm in KS,KS,Winter Storm,0,205700000.0,0,NOAA,No,0
2024,Drought in KY,KY,Drought,0,7902500000.0,0,NOAA,Yes,0
2024,Flood in KY,KY,Flood,0,968100000.0,0,NOAA,No,0
2024,Freeze in KY,KY,Freeze,0,255600000.0,0,NOAA,No,0
2024,Severe Storm in KY,KY,Severe Storm,0,16603200000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in KY,KY,Tropical Cyclone,0,1585300000.0,0,NOAA,Yes,0
2024,Winter Storm in KY,KY,Winter Storm,0,1587600000.0,0,NOAA,Yes,0
2024,Drought in LA,LA,Drought,0,7074300000.0,0,NOAA,Yes,0
2024,Flood in LA,LA,Flood,0,21528600000.0,0,NOAA,Yes,0
2024,Freeze in LA,LA,Freeze,0,210000000.0,0,NOAA,No,0
2024,Severe Storm in LA,LA,Severe Storm,0,12929000000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in LA,LA,Tropical Cyclone,0,270543400000.00003,0,NOAA,Yes,0
2024,Winter Storm in LA,LA,Winter Storm,0,2317500000.0,0,NOAA,Yes,0
2024,Drought in MA,MA,Drought,0,20000000.0,0,NOAA,No,0
2024,Flood in MA,MA,Flood,0,1318200000.0,0,NOAA,Yes,0
2024,Freeze in MA,MA,Freeze,0,50400000.0,0,NOAA,No,0
2024,Severe Storm in MA,MA,Severe Storm,0,880400000.0,0,NOAA,No,0
2024,Tropical Cyclone in MA,MA,Tropical Cyclone,0,3689000000.0,0,NOAA,Yes,0
2024,Winter Storm in MA,MA,Winter Storm,0,5179100000.0,0,NOAA,Yes,0
2024,Drought in MD,MD,Drought,0,3446800000.0,0,NOAA,Yes,0
2024,Flood in MD,MD,Flood,0,346100000.0,0,NOAA,No,0
2024,Freeze in MD,MD,Freeze,0,33600000.0,0,NOAA,No,0
2024,Severe Storm in MD,MD,Severe Storm,0,3772800000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in MD,MD,Tropical Cyclone,0,6529100000.0,0,NOAA,Yes,0
2024,Winter Storm in MD,MD,Winter Storm,0,3146900000.0,0,NOAA,Yes,0
2024,Drought in ME,ME,Drought,0,13300000.0,0,NOAA,No,0
2024,Flood in ME,ME,Flood,0,601400000.0,0,NOAA,No,0
2024,Severe Storm in ME,ME,Severe Storm,0,244300000.0,0,NOAA,No,0
2024,Tropical Cyclone in ME,ME,Tropical Cyclone,0,143500000.0,0,NOAA,No,0
2024,Winter Storm in ME,ME,Winter Storm,0,1626600000.0,0,NOAA,Yes,0
2024,Drought in MI,MI,Drought,0,3301500000.0,0,NOAA,Yes,0
2024,Flood in MI,MI,Flood,0,3409900000.0,0,NOAA,Yes,0
2024,Freeze in MI,MI,Freeze,0,50400000.0,0,NOAA,No,0
2024,Severe Storm in MI,MI,Severe Storm,0,7112700000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in MI,MI,Tropical Cyclone,0,115000000.0,0,NOAA,No,0
2024,Winter Storm in MI,MI,Winter Storm,0,677500000.0,0,NOAA,No,0
2024,Drought in MN,MN,Drought,0,10260700000.0,0,NOAA,Yes,0
2024,Flood in MN,MN,Flood,0,6602100000.0,0,NOAA,Yes,0
2024,Freeze in MN,MN,Freeze,0,54600000.0,0,NOAA,No,0
2024,Severe Storm in MN,MN,Severe Storm,0,24933000000.0,0,NOAA,Yes,0
2024,Wildfire in MN,MN,Wildfire,0,100400000.0,0,NOAA,No,0
2024,Winter Storm in MN,MN,Winter Storm,0,226500000.0,0,NOAA,No,0
2024,Drought in MO,MO,Drought,0,12652100000.0,0,NOAA,Yes,0
2024,Flood in MO,MO,Flood,0,16272400000.0,0,NOAA,Yes,0
2024,Freeze in MO,MO,Freeze,0,656400000.0,0,NOAA,No,0
2024,Severe Storm in MO,MO,Severe Storm,0,29335000000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in MO,MO,Tropical Cyclone,0,560900000.0,0,NOAA,No,0
2024,Winter Storm in MO,MO,Winter Storm,0,929200000.0,0,NOAA,No,0
2024,Drought in MS,MS,Drought,0,9029100000.0,0,NOAA,Yes,0
2024,Flood in MS,MS,Flood,0,3753900000.0,0,NOAA,Yes,0
2024,Freeze in MS,MS,Freeze,0,129600000.0,0,NOAA,No,0
2024,Severe Storm in MS,MS,Severe Storm,0,7010100000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in MS,MS,Tropical Cyclone,0,62029600000.0,0,NOAA,Yes,0
2024,Wildfire in MS,MS,Wildfire,0,43200000.0,0,NOAA,No,0
2024,Winter Storm in MS,MS,Winter Storm,0,4818700000.0,0,NOAA,Yes,0
2024,Drought in MT,MT,Drought,0,13883900000.0,0,NOAA,Yes,0
2024,Flood in MT,MT,Flood,0,357200000.0,0,NOAA,No,0
2024,Freeze in MT,MT,Freeze,0,12600000.0,0,NOAA,No,0
2024,Severe Storm in MT,MT,Severe Storm,0,1281600000.0,0,NOAA,Yes,0
2024,Wildfire in MT,MT,Wildfire,0,3473500000.0,0,NOAA,Yes,0
2024,Drought in NC,NC,Drought,0,10759000000.0,0,NOAA,Yes,0
2024,Flood in NC,NC,Flood,0,106500000.0,0,NOAA,No,0
2024,Freeze in NC,NC,Freeze,0,312800000.0,0,NOAA,No,0
2024,Severe Storm in NC,NC,Severe Storm,0,8742500000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in NC,NC,Tropical Cyclone,0,113340300000.0,0,NOAA,Yes,0
2024,Wildfire in NC,NC,Wildfire,0,90500000.0,0,NOAA,No,0
2024,Winter Storm in NC,NC,Winter Storm,0,2458700000.0,0,NOAA,Yes,0
2024,Drought in ND,ND,Drought,0,24073200000.0,0,NOAA,Yes,0
2024,Flood in ND,ND,Flood,0,9758700000.0,0,NOAA,Yes,0
2024,Freeze in ND,ND,Freeze,0,12600000.0,0,NOAA,No,0
2024,Severe Storm in ND,ND,Severe Storm,0,417000000.0,0,NOAA,No,0
2024,Wildfire in ND,ND,Wildfire,0,13200000.0,0,NOAA,No,0
2024,Winter Storm in ND,ND,Winter Storm,0,38900000.0,0,NOAA,No,0
2024,Drought in NE,NE,Drought,0,17442900000.0,0,NOAA,Yes,0
2024,Flood in NE,NE,Flood,0,5232200000.0,0,NOAA,Yes,0
2024,Freeze in NE,NE,Freeze,0,87000000.0,0,NOAA,No,0
2024,Severe Storm in NE,NE,Severe Storm,0,16293300000.0,0,NOAA,Yes,0
2024,Wildfire in NE,NE,Wildfire,0,58600000.0,0,NOAA,No,0
2024,Winter Storm in NE,NE,Winter Storm,0,42400000.0,0,NOAA,No,0
2024,Drought in NH,NH,Drought,0,13300000.0,0,NOAA,No,0
2024,Flood in NH,NH,Flood,0,72200000.0,0,NOAA,No,0
2024,Severe Storm in NH,NH,Severe Storm,0,164100000.0,0,NOAA,No,0
2024,Tropical Cyclone in NH,NH,Tropical Cyclone,0,462800000.0,0,NOAA,No,0
2024,Winter Storm in NH,NH,Winter Storm,0,1630700000.0,0,NOAA,Yes,0
2024,Drought in NJ,NJ,Drought,0,513600000.0,0,NOAA,No,0
2024,Flood in NJ,NJ,Flood,0,1357500000.0,0,NOAA,Yes,0
2024,Freeze in NJ,NJ,Freeze,0,50400000.0,0,NOAA,No,0
2024,Severe Storm in NJ,NJ,Severe Storm,0,4175399999.9999995,0,NOAA,Yes,0
2024,Tropical Cyclone in NJ,NJ,Tropical Cyclone,0,53304300000.0,0,NOAA,Yes,0
2024,Winter Storm in NJ,NJ,Winter Storm,0,5707700000.0,0,NOAA,Yes,0
2024,Drought in NM,NM,Drought,0,3421600000.0,0,NOAA,Yes,0
2024,Severe Storm in NM,NM,Severe Storm,0,1062900000.0000001,0,NOAA,Yes,0
2024,Tropical Cyclone in NM,NM,Tropical Cyclone,0,304600000.0,0,NOAA,No,0
2024,Wildfire in NM,NM,Wildfire,0,4520100000.0,0,NOAA,Yes,0
2024,Drought in NV,NV,Drought,0,445900000.0,0,NOAA,No,0
2024,Flood in NV,NV,Flood,0,1089000000.0,0,NOAA,Yes,0
2024,Severe Storm in NV,NV,Severe Storm,0,63000000.0,0,NOAA,No,0
2024,Wildfire in NV,NV,Wildfire,0,1247700000.0,0,NOAA,Yes,0
2024,Winter Storm in NV,NV,Winter Storm,0,45600000.0,0,NOAA,No,0
2024,Drought in NY,NY,Drought,0,631900000.0,0,NOAA,No,0
2024,Flood in NY,NY,Flood,0,2354000000.0,0,NOAA,Yes,0
2024,Freeze in NY,NY,Freeze,0,71400000.0,0,NOAA,No,0
2024,Severe Storm in NY,NY,Severe Storm,0,4951600000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in NY,NY,Tropical Cyclone,0,68698000000.0,0,NOAA,Yes,0
2024,Winter Storm in NY,NY,Winter Storm,0,7982600000.0,0,NOAA,Yes,0
2024,Drought in OH,OH,Drought,0,6633800000.0,0,NOAA,Yes,0
2024,Flood in OH,OH,Flood,0,1389900000.0,0,NOAA,Yes,0
2024,Freeze in OH,OH,Freeze,0,418200000.0,0,NOAA,No,0
2024,Severe Storm in OH,OH,Severe Storm,0,18918500000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in OH,OH,Tropical Cyclone,0,3889000000.0,0,NOAA,Yes,0
2024,Winter Storm in OH,OH,Winter Storm,0,1795800000.0,0,NOAA,Yes,0
2024,Drought in OK,OK,Drought,0,13450500000.0,0,NOAA,Yes,0
2024,Flood in OK,OK,Flood,0,2598000000.0,0,NOAA,Yes,0
2024,Freeze in OK,OK,Freeze,0,630000000.0,0,NOAA,No,0
2024,Severe Storm in OK,OK,Severe Storm,0,27412500000.0,0,NOAA,Yes,0
2024,Wildfire in OK,OK,Wildfire,0,348400000.0,0,NOAA,No,0
2024,Winter Storm in OK,OK,Winter Storm,0,1067099999.9999999,0,NOAA,Yes,0
2024,Drought in OR,OR,Drought,0,4458300000.0,0,NOAA,Yes,0
2024,Flood in OR,OR,Flood,0,1655400000.0,0,NOAA,Yes,0
2024,Freeze in OR,OR,Freeze,0,138600000.0,0,NOAA,No,0
2024,Severe Storm in OR,OR,Severe Storm,0,107500000.0,0,NOAA,No,0
2024,Wildfire in OR,OR,Wildfire,0,5913000000.0,0,NOAA,Yes,0
2024,Winter Storm in OR,OR,Winter Storm,0,1477900000.0,0,NOAA,Yes,0
2024,Drought in PA,PA,Drought,0,2591300000.0,0,NOAA,Yes,0
2024,Flood in PA,PA,Flood,0,1354100000.0,0,NOAA,Yes,0
2024,Freeze in PA,PA,Freeze,0,105000000.0,0,NOAA,No,0
2024,Severe Storm in PA,PA,Severe Storm,0,9692000000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in PA,PA,Tropical Cyclone,0,12070000000.0,0,NOAA,Yes,0
2024,Winter Storm in PA,PA,Winter Storm,0,4021400000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in PR,PR,Tropical Cyclone,0,126324800000.0,0,NOAA,Yes,0
2024,Drought in RI,RI,Drought,0,13300000.0,0,NOAA,No,0
2024,Flood in RI,RI,Flood,0,240700000.0,0,NOAA,No,0
2024,Freeze in RI,RI,Freeze,0,8400000.0,0,NOAA,No,0
2024,Severe Storm in RI,RI,Severe Storm,0,224600000.0,0,NOAA,No,0
2024,Tropical Cyclone in RI,RI,Tropical Cyclone,0,1355700000.0,0,NOAA,Yes,0
2024,Winter Storm in RI,RI,Winter Storm,0,1130500000.0,0,NOAA,Yes,0
2024,Drought in SC,SC,Drought,0,4457700000.0,0,NOAA,Yes,0
2024,Flood in SC,SC,Flood,0,2611700000.0,0,NOAA,Yes,0
2024,Freeze in SC,SC,Freeze,0,652200000.0,0,NOAA,No,0
2024,Severe Storm in SC,SC,Severe Storm,0,5144800000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in SC,SC,Tropical Cyclone,0,28857500000.0,0,NOAA,Yes,0
2024,Winter Storm in SC,SC,Winter Storm,0,1563500000.0,0,NOAA,Yes,0
2024,Drought in SD,SD,Drought,0,14729100000.0,0,NOAA,Yes,0
2024,Flood in SD,SD,Flood,0,5649500000.0,0,NOAA,Yes,0
2024,Freeze in SD,SD,Freeze,0,25200000.0,0,NOAA,No,0
2024,Severe Storm in SD,SD,Severe Storm,0,2296900000.0,0,NOAA,Yes,0
2024,Wildfire in SD,SD,Wildfire,0,108800000.0,0,NOAA,No,0
2024,Drought in TN,TN,Drought,0,7508800000.0,0,NOAA,Yes,0
2024,Flood in TN,TN,Flood,0,3988900000.0,0,NOAA,Yes,0
2024,Freeze in TN,TN,Freeze,0,196000000.0,0,NOAA,No,0
2024,Severe Storm in TN,TN,Severe Storm,0,23587900000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in TN,TN,Tropical Cyclone,0,2518300000.0,0,NOAA,Yes,0
2024,Wildfire in TN,TN,Wildfire,0,1834000000.0,0,NOAA,Yes,0
2024,Winter Storm in TN,TN,Winter Storm,0,2846600000.0,0,NOAA,Yes,0
2024,Drought in TX,TX,Drought,0,44129300000.0,0,NOAA,Yes,0
2024,Flood in TX,TX,Flood,0,15303300000.0,0,NOAA,Yes,0
2024,Freeze in TX,TX,Freeze,0,565300000.0,0,NOAA,No,0
2024,Severe Storm in TX,TX,Severe Storm,0,98418200000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in TX,TX,Tropical Cyclone,0,248011200000.0,0,NOAA,Yes,0
2024,Wildfire in TX,TX,Wildfire,0,3166100000.0,0,NOAA,Yes,0
2024,Winter Storm in TX,TX,Winter Storm,0,26502900000.0,0,NOAA,Yes,0
2024,Drought in UT,UT,Drought,0,530100000.0,0,NOAA,No,0
2024,Flood in UT,UT,Flood,0,1610000000.0,0,NOAA,Yes,0
2024,Freeze in UT,UT,Freeze,0,12600000.0,0,NOAA,No,0
2024,Severe Storm in UT,UT,Severe Storm,0,28800000.0,0,NOAA,No,0
2024,Wildfire in UT,UT,Wildfire,0,1405400000.0,0,NOAA,Yes,0
2024,Drought in VA,VA,Drought,0,4841200000.0,0,NOAA,Yes,0
2024,Flood in VA,VA,Flood,0,2301900000.0,0,NOAA,Yes,0
